DATE,CSHCCPINA156NRUG
1950-01-01,0.8951540589332581
1951-01-01,0.8961787223815918
1952-01-01,0.9000668525695801
1953-01-01,0.8887404799461365
1954-01-01,0.8529669642448425
1955-01-01,0.837356686592102
1956-01-01,0.8379031419754028
1957-01-01,0.8356678485870361
1958-01-01,0.8366703391075134
1959-01-01,0.8273477554321289
1960-01-01,0.8064563274383545
1961-01-01,0.8086893558502197
1962-01-01,0.7851346135139465
1963-01-01,0.7588755488395691
1964-01-01,0.7597737908363342
1965-01-01,0.7306773066520691
1966-01-01,0.7226076722145081
1967-01-01,0.74114990234375
1968-01-01,0.7472109794616699
1969-01-01,0.744600772857666
1970-01-01,0.719022810459137
1971-01-01,0.7142866849899292
1972-01-01,0.7065080404281616
1973-01-01,0.6962135434150696
1974-01-01,0.7117823958396912
1975-01-01,0.6961953043937683
1976-01-01,0.6641448140144348
1977-01-01,0.6728754639625549
1978-01-01,0.6810005903244019
1979-01-01,0.672913134098053
1980-01-01,0.6744331121444702
1981-01-01,0.6914392113685608
1982-01-01,0.6974596977233887
1983-01-01,0.7171252965927124
1984-01-01,0.7212861776351929
1985-01-01,0.7219702005386353
1986-01-01,0.718874454498291
1987-01-01,0.7109829783439636
1988-01-01,0.7065598964691162
1989-01-01,0.7011317014694214
1990-01-01,0.7119017243385315
1991-01-01,0.7087873220443726
1992-01-01,0.6931436061859131
1993-01-01,0.6927144527435303
1994-01-01,0.6939979195594788
1995-01-01,0.6929808259010315
1996-01-01,0.7041698098182678
1997-01-01,0.6924023032188416
1998-01-01,0.6791892647743225
1999-01-01,0.6746847629547119
2000-01-01,0.6655168533325195
2001-01-01,0.6706392765045166
2002-01-01,0.6551187038421631
2003-01-01,0.6389151811599731
2004-01-01,0.6180593371391296
2005-01-01,0.5904995799064636
2006-01-01,0.5707178711891174
2007-01-01,0.5677355527877808
2008-01-01,0.5806964039802551
2009-01-01,0.5881508588790894
2010-01-01,0.5669001340866089
2011-01-01,0.5831465125083923
2012-01-01,0.5824543237686157
2013-01-01,0.6060397624969482
2014-01-01,0.6135661602020264
2015-01-01,0.6288496851921082
2016-01-01,0.6422334313392639
2017-01-01,0.6389186382293701
2018-01-01,0.6381155848503113
2019-01-01,0.649477481842041
