DATE,CSHXCPINA156NRUG
1950-01-01,0.036188337951898575
1951-01-01,0.02950737066566944
1952-01-01,0.028360148891806602
1953-01-01,0.027209235355257988
1954-01-01,0.027781138196587563
1955-01-01,0.02924865484237671
1956-01-01,0.028060071170330048
1957-01-01,0.028707699850201607
1958-01-01,0.023327814415097237
1959-01-01,0.024948302656412125
1960-01-01,0.02111797407269478
1961-01-01,0.020312970504164696
1962-01-01,0.020008046180009842
1963-01-01,0.021792571991682053
1964-01-01,0.0215818639844656
1965-01-01,0.019570721313357353
1966-01-01,0.017637202516198158
1967-01-01,0.017693856731057167
1968-01-01,0.01879682019352913
1969-01-01,0.016497766599059105
1970-01-01,0.01629236340522766
1971-01-01,0.01523030549287796
1972-01-01,0.015750495716929436
1973-01-01,0.016226187348365784
1974-01-01,0.01990308053791523
1975-01-01,0.018893154338002205
1976-01-01,0.023523813113570213
1977-01-01,0.022541219368577003
1978-01-01,0.022343235090374947
1979-01-01,0.026745732873678207
1980-01-01,0.02702243998646736
1981-01-01,0.026797180995345116
1982-01-01,0.029161052778363228
1983-01-01,0.029428932815790176
1984-01-01,0.0307553019374609
1985-01-01,0.02693168632686138
1986-01-01,0.025272734463214874
1987-01-01,0.027306942269206047
1988-01-01,0.02691400796175003
1989-01-01,0.02976984530687332
1990-01-01,0.029110539704561234
1991-01-01,0.02684856206178665
1992-01-01,0.0323643796145916
1993-01-01,0.032710880041122437
1994-01-01,0.03659304603934288
1995-01-01,0.03745958209037781
1996-01-01,0.036313366144895554
1997-01-01,0.03777949512004852
1998-01-01,0.03543955832719803
1999-01-01,0.03739839419722557
2000-01-01,0.04115397483110428
2001-01-01,0.04120692238211632
2002-01-01,0.043818529695272446
2003-01-01,0.043564844876527786
2004-01-01,0.046887531876564026
2005-01-01,0.053158488124608994
2006-01-01,0.055814579129219055
2007-01-01,0.05499189719557762
2008-01-01,0.05850793421268463
2009-01-01,0.056655824184417725
2010-01-01,0.05904923379421234
2011-01-01,0.07143013179302216
2012-01-01,0.06436453014612198
2013-01-01,0.07173775881528854
2014-01-01,0.06407975405454636
2015-01-01,0.05558876320719719
2016-01-01,0.05250391364097595
2017-01-01,0.054803695529699326
2018-01-01,0.05351239815354347
2019-01-01,0.05106145888566971
