DATE,CSHGCPINA156NRUG
1950-01-01,0.07053126394748688
1951-01-01,0.07133285701274872
1952-01-01,0.07523174583911896
1953-01-01,0.07680051028728485
1954-01-01,0.08593116700649261
1955-01-01,0.08995813876390457
1956-01-01,0.08834487199783325
1957-01-01,0.10078824311494827
1958-01-01,0.1000375896692276
1959-01-01,0.10340572148561478
1960-01-01,0.10268869996070862
1961-01-01,0.10847609490156174
1962-01-01,0.12506800889968872
1963-01-01,0.14645874500274658
1964-01-01,0.1434069573879242
1965-01-01,0.1628129780292511
1966-01-01,0.16780774295330048
1967-01-01,0.16042876243591309
1968-01-01,0.16401512920856476
1969-01-01,0.16570687294006348
1970-01-01,0.1802968680858612
1971-01-01,0.1998540461063385
1972-01-01,0.20621968805789948
1973-01-01,0.2034965306520462
1974-01-01,0.20551683008670807
1975-01-01,0.2165069282054901
1976-01-01,0.21673496067523956
1977-01-01,0.20929725468158722
1978-01-01,0.21261096000671387
1979-01-01,0.22469833493232727
1980-01-01,0.21559932827949524
1981-01-01,0.20525828003883362
1982-01-01,0.20783564448356628
1983-01-01,0.19069558382034302
1984-01-01,0.18701045215129852
1985-01-01,0.18888166546821594
1986-01-01,0.1955479234457016
1987-01-01,0.19761644303798676
1988-01-01,0.18907900154590607
1989-01-01,0.18340778350830078
1990-01-01,0.16498100757598877
1991-01-01,0.15639616549015045
1992-01-01,0.15118913352489471
1993-01-01,0.14774855971336365
1994-01-01,0.1396705061197281
1995-01-01,0.13503940403461456
1996-01-01,0.12480537593364716
1997-01-01,0.13628479838371277
1998-01-01,0.14238163828849792
1999-01-01,0.14923584461212158
2000-01-01,0.14492161571979523
2001-01-01,0.14100560545921326
2002-01-01,0.13256968557834625
2003-01-01,0.12790435552597046
2004-01-01,0.1232948899269104
2005-01-01,0.11982563883066177
2006-01-01,0.11002639681100845
2007-01-01,0.10699592530727386
2008-01-01,0.1109287440776825
2009-01-01,0.11724615842103958
2010-01-01,0.10683853179216385
2011-01-01,0.10594679415225983
2012-01-01,0.10143706947565079
2013-01-01,0.09269662946462631
2014-01-01,0.08652032911777496
2015-01-01,0.07987537980079651
2016-01-01,0.07277999818325043
2017-01-01,0.07159131020307541
2018-01-01,0.07401340454816818
2019-01-01,0.07331936806440353
