DATE,CSHRCPINA156NRUG
1950-01-01,-0.047834694385528564
1951-01-01,-0.04597572609782219
1952-01-01,-0.05033154413104057
1953-01-01,-0.05031682550907135
1954-01-01,-0.04505294933915138
1955-01-01,-0.04298078641295433
1956-01-01,-0.043463487178087234
1957-01-01,-0.045050814747810364
1958-01-01,-0.04401380941271782
1959-01-01,-0.04322105646133423
1960-01-01,-0.044594939798116684
1961-01-01,-0.044592831283807755
1962-01-01,-0.04377739876508713
1963-01-01,-0.049778640270233154
1964-01-01,-0.054720740765333176
1965-01-01,-0.04700146242976189
1966-01-01,-0.04732689633965492
1967-01-01,-0.04324142262339592
1968-01-01,-0.042976170778274536
1969-01-01,-0.046643611043691635
1970-01-01,-0.049088675528764725
1971-01-01,-0.0673149824142456
1972-01-01,-0.057465579360723495
1973-01-01,-0.06459856778383255
1974-01-01,-0.078850157558918
1975-01-01,-0.05159216374158859
1976-01-01,-0.03569581359624863
1977-01-01,-0.043795179575681686
1978-01-01,-0.07863567769527435
1979-01-01,-0.06378233432769775
1980-01-01,-0.04873167723417282
1981-01-01,-0.029665667563676834
1982-01-01,-0.04865429177880287
1983-01-01,-0.02746138721704483
1984-01-01,-0.03601198270916939
1985-01-01,-0.030529730021953583
1986-01-01,-0.040793586522340775
1987-01-01,-0.052262213081121445
1988-01-01,-0.04660562053322792
1989-01-01,-0.03849667310714722
1990-01-01,-0.04744134098291397
1991-01-01,-0.011294201947748661
1992-01-01,-0.0030940982978791
1993-01-01,-0.0008874690975062549
1994-01-01,-0.013202507048845291
1995-01-01,-0.002680565696209669
1996-01-01,0.009258424863219261
1997-01-01,-0.010468962602317333
1998-01-01,0.0023964233696460724
1999-01-01,-0.02164473757147789
2000-01-01,0.0028641363605856895
2001-01-01,-0.00752689503133297
2002-01-01,0.003141915425658226
2003-01-01,0.007719824556261301
2004-01-01,-0.006715834606438875
2005-01-01,0.008085597306489944
2006-01-01,0.041610196232795715
2007-01-01,0.014045324176549911
2008-01-01,0.0500059574842453
2009-01-01,0.004953013267368078
2010-01-01,0.022668300196528435
2011-01-01,0.01718704029917717
2012-01-01,0.052016593515872955
2013-01-01,0.04764953628182411
2014-01-01,0.040654391050338745
2015-01-01,0.043339673429727554
2016-01-01,0.026508795097470284
2017-01-01,0.017252914607524872
2018-01-01,0.04062014818191528
2019-01-01,0.033700596541166306
